coronal,sagittal,transversal
"(236, 211, 16)","(280, 213, 14)","(245, 271, 16)"
"(368, 268, 12)","(230, 302, 1)","(373, 232, 10)"
"(183, 291, 13)","(237, 290, 19)","(182, 226, 10)"
"(215, 200, 8)","(147, 201, 16)","(214, 145, 18)"
"(222, 231, 17)","(295, 238, 15)","(220, 308, 11)"
"(173, 214, 11)","(227, 207, 19)","(175, 235, 11)"
"(294, 207, 12)","(165, 208, 8)","(296, 174, 12)"
"(191, 253, 12)","(248, 239, 18)","(189, 257, 12)"
"(316, 262, 11)","(232, 263, 6)","(319, 242, 11)"
"(337, 262, 13)","(254, 262, 4)","(341, 250, 8)"
"(148, 289, 13)","(236, 268, 21)","(146, 256, 9)"
"(291, 175, 8)","(179, 171, 7)","(293, 187, 19)"
"(323, 260, 14)","(239, 260, 5)","(325, 235, 12)"
"(163, 250, 11)","(233, 230, 21)","(159, 246, 14)"
"(348, 230, 10)","(241, 230, 2)","(352, 240, 15)"
"(328, 284, 17)","(291, 271, 5)","(331, 289, 11)"
"(227, 144, 12)","(238, 131, 14)","(226, 241, 23)"
"(157, 166, 10)","(249, 166, 22)","(153, 239, 20)"
"(308, 180, 16)","(258, 177, 6)","(326, 262, 20)"
"(161, 222, 11)","(235, 217, 21)","(157, 235, 14)"
"(190, 253, 11)","(242, 254, 18)","(188, 233, 10)"
"(181, 259, 13)","(207, 257, 20)","(180, 247, 10)"
"(297, 261, 16)","(318, 256, 6)","(337, 250, 13)"
"(319, 251, 13)","(198, 249, 5)","(319, 250, 12)"
"(177, 252, 14)","(278, 251, 20)","(174, 278, 11)"
"(328, 274, 16)","(269, 272, 5)","(332, 282, 8)"
"(205, 249, 15)","(255, 245, 17)","(203, 283, 14)"
"(333, 227, 12)","(252, 226, 5)","(337, 244, 14)"
"(301, 260, 14)","(236, 256, 7)","(303, 263, 9)"
"(359, 284, 14)","(247, 289, 1)","(364, 265, 12)"
"(194, 266, 12)","(249, 266, 18)","(191, 245, 9)"
"(327, 212, 9)","(192, 204, 5)","(329, 212, 15)"
"(209, 228, 9)","(134, 232, 18)","(210, 140, 13)"
"(162, 251, 15)","(239, 251, 21)","(158, 247, 9)"
"(343, 275, 15)","(233, 276, 4)","(347, 262, 11)"
"(304, 233, 14)","(250, 218, 8)","(301, 278, 14)"
"(343, 256, 10)","(216, 267, 4)","(338, 216, 15)"
"(174, 231, 15)","(262, 227, 20)","(171, 273, 13)"
"(305, 259, 8)","(207, 262, 7)","(308, 208, 12)"
"(172, 251, 15)","(271, 250, 20)","(168, 281, 12)"
"(183, 274, 17)","(243, 267, 19)","(179, 239, 13)"
"(194, 255, 13)","(234, 246, 18)","(191, 256, 11)"
"(174, 262, 12)","(244, 252, 19)","(170, 255, 12)"
"(353, 265, 13)","(246, 267, 2)","(357, 252, 9)"
"(181, 267, 14)","(236, 266, 19)","(171, 261, 12)"
"(329, 250, 11)","(237, 259, 5)","(331, 240, 13)"
"(343, 249, 15)","(203, 244, 4)","(347, 260, 10)"
"(182, 249, 12)","(258, 249, 19)","(180, 267, 12)"
"(175, 235, 11)","(228, 236, 19)","(173, 244, 12)"
"(194, 255, 14)","(249, 241, 19)","(187, 212, 13)"
"(307, 220, 14)","(275, 220, 7)","(310, 280, 13)"
"(174, 250, 16)","(276, 249, 20)","(170, 276, 12)"
"(376, 214, 17)","(289, 212, 1)","(371, 306, 16)"
"(352, 196, 10)","(240, 197, 3)","(356, 240, 17)"
"(185, 255, 11)","(220, 256, 19)","(182, 243, 13)"
"(216, 164, 10)","(214, 163, 15)","(215, 226, 20)"
"(171, 243, 12)","(233, 244, 20)","(168, 230, 11)"
"(328, 276, 18)","(306, 265, 5)","(331, 318, 10)"
"(172, 270, 13)","(262, 277, 20)","(169, 264, 12)"
"(171, 265, 17)","(270, 263, 20)","(168, 298, 12)"
"(351, 284, 13)","(275, 277, 3)","(355, 260, 11)"
"(343, 269, 11)","(262, 269, 3)","(347, 231, 11)"
"(277, 207, 7)","(172, 208, 10)","(272, 166, 14)"
"(182, 284, 11)","(201, 285, 19)","(180, 251, 10)"
"(316, 243, 19)","(287, 239, 5)","(317, 309, 13)"
"(192, 258, 11)","(249, 244, 18)","(190, 255, 12)"
"(276, 231, 5)","(156, 228, 9)","(274, 159, 15)"
"(175, 258, 12)","(241, 258, 20)","(170, 248, 12)"
"(168, 286, 13)","(217, 286, 20)","(165, 234, 10)"
"(179, 279, 12)","(201, 267, 19)","(199, 206, 11)"
"(349, 214, 18)","(299, 212, 2)","(354, 304, 13)"
"(328, 247, 18)","(289, 243, 5)","(331, 310, 14)"
"(182, 227, 10)","(227, 230, 19)","(179, 223, 13)"
"(328, 265, 15)","(262, 250, 5)","(332, 292, 8)"
"(333, 273, 11)","(208, 265, 5)","(336, 223, 12)"
"(334, 272, 14)","(222, 268, 5)","(338, 230, 12)"
"(320, 266, 19)","(293, 266, 7)","(323, 302, 12)"
"(150, 266, 13)","(210, 266, 22)","(145, 250, 10)"
"(361, 249, 12)","(248, 250, 1)","(366, 247, 11)"
"(350, 276, 16)","(247, 276, 2)","(355, 258, 12)"
"(192, 273, 17)","(255, 268, 18)","(188, 267, 10)"
"(248, 177, 14)","(269, 177, 12)","(248, 271, 18)"
"(328, 265, 15)","(278, 256, 5)","(331, 282, 9)"
"(178, 252, 13)","(227, 235, 19)","(186, 235, 10)"
"(351, 272, 11)","(238, 273, 3)","(355, 239, 10)"
"(325, 263, 11)","(253, 263, 6)","(328, 241, 14)"
"(166, 241, 17)","(309, 241, 21)","(163, 311, 14)"
"(250, 87, 8)","(198, 77, 13)","(241, 195, 26)"
"(177, 141, 9)","(176, 143, 20)","(174, 198, 19)"
"(352, 267, 14)","(272, 265, 3)","(359, 267, 12)"
"(361, 255, 13)","(271, 253, 2)","(365, 254, 13)"
"(338, 255, 11)","(245, 257, 4)","(341, 255, 12)"
"(150, 245, 20)","(306, 241, 22)","(146, 277, 13)"
"(307, 200, 4)","(186, 200, 7)","(308, 171, 17)"
"(184, 260, 11)","(219, 261, 19)","(181, 217, 10)"
"(294, 201, 8)","(134, 202, 8)","(296, 167, 17)"
"(339, 246, 17)","(301, 245, 3)","(343, 309, 12)"
"(158, 217, 17)","(302, 214, 22)","(154, 303, 14)"
"(321, 267, 11)","(243, 265, 6)","(321, 247, 11)"
"(320, 269, 16)","(249, 266, 4)","(323, 273, 11)"
"(205, 224, 8)","(187, 230, 17)","(202, 191, 16)"
"(324, 186, 11)","(263, 185, 5)","(327, 258, 16)"
"(149, 266, 15)","(218, 270, 22)","(154, 252, 11)"
"(191, 234, 12)","(237, 235, 18)","(189, 253, 10)"
