coronal,sagittal,transversal
"(262, 248, 15)","(260, 246, 12)","(269, 264, 14)"
"(238, 212, 18)","(233, 198, 14)","(237, 320, 14)"
"(245, 229, 13)","(248, 226, 13)","(248, 255, 14)"
"(258, 256, 13)","(237, 262, 12)","(258, 259, 10)"
"(248, 279, 15)","(245, 274, 13)","(245, 243, 12)"
"(261, 226, 20)","(277, 218, 12)","(258, 300, 29)"
"(232, 230, 14)","(283, 224, 12)","(232, 281, 13)"
"(266, 225, 20)","(249, 217, 13)","(267, 263, 19)"
"(261, 241, 14)","(270, 242, 12)","(261, 273, 13)"
"(272, 239, 13)","(250, 231, 11)","(273, 259, 14)"
"(261, 199, 15)","(309, 194, 9)","(261, 299, 16)"
"(260, 239, 14)","(285, 239, 9)","(260, 275, 14)"
"(263, 252, 15)","(261, 252, 14)","(255, 256, 14)"
"(243, 243, 17)","(244, 241, 13)","(239, 255, 14)"
"(260, 251, 13)","(277, 250, 10)","(260, 284, 11)"
"(278, 236, 9)","(254, 236, 12)","(279, 245, 13)"
"(240, 226, 12)","(265, 221, 13)","(239, 274, 13)"
"(250, 259, 13)","(180, 258, 13)","(249, 217, 11)"
"(260, 235, 14)","(250, 231, 10)","(260, 283, 15)"
"(260, 232, 13)","(269, 231, 11)","(260, 263, 13)"
"(267, 246, 17)","(258, 233, 12)","(267, 265, 13)"
"(241, 243, 18)","(269, 239, 14)","(226, 272, 19)"
"(244, 237, 16)","(237, 232, 14)","(237, 261, 9)"
"(270, 214, 17)","(255, 214, 10)","(265, 295, 18)"
"(261, 235, 12)","(253, 239, 12)","(262, 273, 12)"
"(269, 231, 17)","(290, 231, 9)","(262, 292, 13)"
"(269, 212, 15)","(298, 213, 8)","(269, 303, 15)"
"(261, 219, 17)","(313, 213, 12)","(261, 288, 13)"
"(266, 247, 19)","(281, 241, 13)","(267, 289, 13)"
"(240, 242, 16)","(263, 240, 12)","(246, 274, 14)"
"(270, 264, 14)","(235, 266, 9)","(283, 233, 13)"
"(252, 244, 15)","(246, 237, 11)","(250, 245, 17)"
"(272, 242, 13)","(275, 241, 11)","(268, 250, 15)"
"(261, 234, 16)","(269, 223, 12)","(261, 293, 13)"
"(270, 235, 14)","(290, 226, 10)","(269, 287, 14)"
"(235, 273, 15)","(219, 273, 13)","(236, 219, 15)"
"(250, 248, 13)","(267, 246, 12)","(250, 242, 9)"
"(262, 246, 11)","(274, 247, 11)","(262, 235, 11)"
"(250, 242, 14)","(280, 239, 12)","(250, 267, 11)"
"(242, 254, 14)","(257, 247, 13)","(241, 271, 12)"
"(261, 249, 12)","(254, 244, 11)","(261, 253, 14)"
"(247, 277, 13)","(245, 271, 12)","(246, 234, 13)"
"(261, 246, 14)","(252, 254, 12)","(261, 236, 9)"
"(284, 242, 14)","(210, 241, 10)","(269, 278, 10)"
"(248, 267, 16)","(276, 239, 12)","(248, 293, 13)"
"(251, 223, 15)","(291, 220, 12)","(250, 286, 15)"
"(250, 246, 13)","(262, 232, 13)","(249, 250, 9)"
"(247, 227, 17)","(261, 225, 13)","(246, 261, 12)"
"(241, 251, 17)","(210, 253, 13)","(243, 271, 11)"
"(241, 259, 16)","(273, 236, 13)","(243, 295, 11)"
"(259, 244, 16)","(252, 242, 12)","(259, 249, 15)"
"(249, 215, 16)","(275, 202, 11)","(249, 299, 15)"
"(260, 207, 17)","(239, 204, 12)","(260, 261, 14)"
"(255, 240, 17)","(260, 237, 13)","(271, 260, 19)"
"(270, 232, 15)","(289, 233, 10)","(272, 283, 18)"
"(250, 236, 13)","(270, 228, 12)","(250, 272, 13)"
"(232, 238, 17)","(185, 239, 15)","(230, 225, 13)"
"(262, 213, 17)","(255, 207, 11)","(265, 297, 13)"
"(242, 225, 14)","(287, 225, 12)","(241, 280, 16)"
"(247, 204, 13)","(245, 205, 12)","(253, 263, 13)"
"(260, 221, 12)","(262, 220, 10)","(260, 255, 14)"
"(232, 245, -1)","(132, 249, 13)","(231, 126, 12)"
"(245, 233, 15)","(224, 229, 12)","(259, 243, 11)"
"(276, 234, 18)","(217, 234, 12)","(280, 227, 16)"
"(242, 255, 14)","(269, 231, 13)","(241, 280, 10)"
"(269, 249, 16)","(239, 247, 11)","(265, 252, 13)"
"(254, 244, 17)","(271, 226, 13)","(247, 291, 13)"
"(250, 256, 15)","(242, 249, 13)","(248, 238, 16)"
"(263, 261, 13)","(259, 252, 12)","(261, 262, 11)"
"(247, 238, 12)","(242, 239, 13)","(261, 236, 15)"
"(250, 243, 15)","(256, 242, 12)","(243, 280, 17)"
"(262, 239, 12)","(262, 247, 12)","(261, 266, 15)"
"(269, 211, 14)","(287, 208, 9)","(270, 289, 14)"
"(240, 233, 16)","(302, 231, 13)","(239, 303, 13)"
"(250, 225, 13)","(285, 225, 12)","(255, 282, 13)"
"(240, 232, 14)","(256, 224, 13)","(239, 273, 12)"
"(265, 237, 17)","(267, 231, 12)","(265, 269, 15)"
"(252, 248, 16)","(262, 247, 13)","(252, 286, 14)"
"(252, 229, 16)","(282, 209, 10)","(271, 305, 14)"
"(250, 223, 15)","(277, 222, 12)","(250, 283, 13)"
"(250, 220, 15)","(273, 216, 13)","(249, 275, 14)"
"(250, 201, 16)","(274, 200, 13)","(250, 283, 14)"
"(260, 225, 13)","(268, 225, 11)","(260, 263, 14)"
"(270, 210, 16)","(274, 206, 10)","(270, 300, 14)"
"(260, 262, 13)","(265, 245, 11)","(260, 269, 11)"
"(249, 233, 16)","(255, 233, 13)","(251, 253, 16)"
"(260, 227, 12)","(232, 227, 11)","(260, 261, 13)"
"(250, 264, 16)","(244, 264, 13)","(250, 297, 13)"
"(243, 219, 17)","(261, 219, 12)","(238, 266, 17)"
"(248, 232, 16)","(292, 217, 14)","(248, 300, 16)"
"(271, 187, 18)","(299, 179, 11)","(271, 302, 18)"
"(254, 224, 14)","(267, 223, 12)","(252, 277, 14)"
"(245, 278, 14)","(205, 268, 12)","(245, 208, 9)"
"(260, 255, 14)","(282, 254, 12)","(260, 281, 12)"
"(240, 232, 13)","(267, 232, 13)","(240, 257, 12)"
"(246, 254, 17)","(248, 254, 13)","(247, 267, 14)"
"(252, 209, 12)","(268, 208, 14)","(238, 268, 16)"
"(248, 267, 15)","(229, 254, 12)","(272, 232, 15)"
"(250, 211, 17)","(254, 206, 13)","(251, 276, 13)"
"(261, 226, 14)","(207, 229, 12)","(261, 265, 13)"
"(260, 228, 16)","(271, 212, 11)","(260, 305, 10)"
"(277, 263, 13)","(236, 254, 11)","(278, 253, 12)"
"(260, 250, 13)","(249, 248, 11)","(260, 272, 10)"
"(267, 268, 16)","(246, 264, 12)","(268, 254, 15)"
"(261, 235, 14)","(281, 229, 12)","(260, 285, 14)"
"(265, 244, 17)","(254, 209, 11)","(264, 260, 13)"
"(270, 242, 12)","(234, 246, 11)","(271, 250, 13)"
"(250, 255, 16)","(241, 258, 12)","(250, 285, 9)"
"(238, 274, 16)","(236, 269, 14)","(235, 249, 9)"
"(261, 236, 14)","(265, 238, 12)","(261, 258, 14)"
"(250, 227, 14)","(277, 226, 12)","(250, 270, 14)"
"(260, 194, 16)","(282, 192, 11)","(260, 290, 18)"
"(272, 221, 17)","(263, 217, 11)","(273, 281, 12)"
"(242, 234, 14)","(251, 216, 11)","(253, 262, 11)"
"(248, 251, 21)","(287, 248, 14)","(248, 290, 14)"
"(261, 196, 17)","(227, 194, 11)","(261, 249, 16)"
"(279, 243, 14)","(306, 243, 8)","(280, 298, 14)"
"(270, 240, 18)","(279, 231, 12)","(271, 276, 15)"
"(239, 216, 19)","(234, 214, 14)","(238, 288, 14)"
"(242, 247, 11)","(255, 241, 12)","(241, 257, 13)"
"(262, 258, 14)","(234, 250, 17)","(270, 232, 14)"
"(270, 234, 14)","(290, 234, 10)","(271, 286, 13)"
"(251, 228, 13)","(274, 227, 11)","(255, 285, 14)"
"(261, 268, 14)","(251, 269, 9)","(261, 302, 9)"
"(241, 207, 15)","(266, 201, 12)","(240, 294, 18)"
"(260, 224, 20)","(287, 220, 11)","(260, 310, 13)"
"(270, 242, 16)","(302, 236, 10)","(267, 312, 14)"
"(238, 248, 17)","(262, 251, 14)","(245, 272, 13)"
"(267, 232, 14)","(248, 227, 11)","(264, 282, 14)"
"(250, 225, 11)","(255, 226, 11)","(250, 255, 13)"
"(269, 206, 15)","(293, 206, 9)","(270, 297, 14)"
"(245, 250, 19)","(273, 251, 14)","(246, 295, 12)"
"(250, 243, 15)","(233, 240, 15)","(250, 253, 13)"
"(249, 271, 12)","(239, 270, 13)","(249, 237, 10)"
"(280, 245, 12)","(260, 245, 9)","(280, 252, 8)"
"(260, 224, 13)","(281, 223, 11)","(260, 254, 15)"
"(238, 248, 16)","(279, 234, 14)","(238, 272, 9)"
"(278, 209, 14)","(288, 210, 8)","(279, 294, 13)"
"(260, 278, 13)","(260, 278, 11)","(260, 271, 14)"
"(252, 217, 19)","(270, 214, 11)","(252, 328, 15)"
"(239, 251, 16)","(262, 244, 14)","(240, 270, 10)"
"(260, 245, 16)","(287, 245, 11)","(260, 301, 13)"
"(250, 230, 13)","(272, 230, 12)","(250, 271, 11)"
"(260, 232, 13)","(224, 226, 10)","(260, 290, 13)"
"(251, 231, 15)","(259, 227, 11)","(250, 264, 11)"
"(248, 243, 12)","(222, 243, 13)","(246, 222, 13)"
"(253, 243, 12)","(245, 242, 10)","(261, 243, 12)"
"(260, 230, 13)","(260, 229, 11)","(260, 277, 9)"
"(239, 228, 17)","(215, 223, 13)","(238, 270, 15)"
"(260, 231, 12)","(264, 224, 12)","(261, 258, 13)"
"(253, 207, 15)","(223, 224, 13)","(253, 286, 14)"
"(250, 221, 15)","(242, 240, 19)","(250, 241, 13)"
"(261, 231, 12)","(245, 231, 12)","(261, 260, 11)"
"(250, 218, 13)","(274, 218, 11)","(250, 276, 14)"
"(270, 239, 19)","(266, 210, 17)","(277, 291, 12)"
"(250, 228, 14)","(264, 224, 11)","(250, 283, 11)"
"(262, 234, 13)","(261, 225, 11)","(262, 282, 13)"
"(269, 225, 13)","(264, 215, 9)","(270, 271, 13)"
"(272, 216, 18)","(270, 215, 11)","(272, 292, 19)"
"(242, 260, 21)","(294, 258, 14)","(247, 298, 14)"
"(270, 218, 13)","(264, 218, 10)","(271, 262, 17)"
"(250, 228, 12)","(251, 227, 12)","(250, 254, 14)"
"(245, 251, 16)","(241, 241, 13)","(254, 288, 8)"
"(260, 231, 12)","(269, 231, 11)","(260, 269, 10)"
"(269, 230, 13)","(255, 232, 9)","(270, 289, 14)"
"(241, 215, 14)","(287, 214, 12)","(241, 285, 14)"
"(250, 216, 15)","(287, 215, 12)","(250, 298, 15)"
"(256, 238, 20)","(229, 239, 12)","(263, 292, 13)"
"(250, 211, 15)","(300, 198, 11)","(250, 291, 14)"
"(254, 203, 15)","(274, 202, 18)","(260, 288, 14)"
"(260, 218, 14)","(239, 211, 10)","(260, 293, 14)"
"(232, 241, 18)","(277, 255, 13)","(242, 290, 13)"
"(260, 231, 14)","(268, 215, 10)","(260, 288, 11)"
"(269, 229, 13)","(280, 229, 9)","(270, 277, 11)"
"(276, 244, 11)","(226, 246, 9)","(294, 247, 11)"
"(261, 175, 24)","(271, 171, 12)","(258, 300, 21)"
"(218, 220, 16)","(267, 244, 15)","(221, 277, 11)"
"(260, 246, 14)","(276, 236, 11)","(260, 274, 12)"
"(249, 225, 13)","(270, 225, 13)","(249, 270, 17)"
