coronal,sagittal,transversal
"(226, 161, 1)","(87, 173, 16)","(207, 89, 20)"
"(294, 186, 3)","(81, 192, 8)","(295, 84, 20)"
"(290, 155, 1)","(108, 137, 8)","(288, 101, 20)"
"(299, 165, 1)","(82, 187, 7)","(301, 92, 21)"
"(276, 176, -1)","(104, 185, 10)","(277, 85, 21)"
"(202, 141, -1)","(111, 146, 17)","(200, 118, 21)"
"(236, 153, -1)","(78, 167, 14)","(235, 95, 21)"
"(189, 157, -3)","(100, 171, 18)","(186, 103, 22)"
"(306, 168, 2)","(118, 162, 6)","(310, 125, 18)"
"(299, 182, -1)","(117, 192, 8)","(300, 115, 20)"
"(212, 190, 2)","(100, 206, 17)","(210, 138, 17)"
"(294, 186, 1)","(147, 192, 8)","(296, 128, 21)"
"(283, 161, 0)","(123, 166, 10)","(284, 105, 20)"
"(213, 163, -2)","(89, 152, 16)","(211, 94, 21)"
"(225, 185, -2)","(107, 196, 15)","(224, 104, 19)"
"(219, 169, 0)","(119, 178, 16)","(218, 125, 19)"
"(246, 177, -1)","(106, 173, 14)","(245, 109, 21)"
"(236, 182, 0)","(95, 173, 14)","(260, 94, 22)"
"(175, 167, 2)","(123, 169, 20)","(172, 132, 17)"
"(216, 114, -2)","(96, 123, 16)","(214, 87, 22)"
"(309, 184, -1)","(84, 196, 6)","(311, 83, 21)"
"(244, 175, -1)","(92, 187, 13)","(244, 103, 19)"
"(216, 170, 0)","(96, 155, 16)","(209, 101, 17)"
"(234, 168, 0)","(80, 167, 13)","(219, 69, 21)"
"(245, 161, 1)","(97, 167, 13)","(245, 135, 20)"
"(297, 201, 1)","(102, 188, 7)","(303, 116, 17)"
"(243, 164, -1)","(123, 176, 14)","(242, 107, 20)"
"(373, 151, 5)","(176, 151, 0)","(379, 172, 20)"
"(144, 205, 4)","(121, 205, 20)","(138, 118, 19)"
"(283, 179, 0)","(91, 194, 9)","(285, 86, 18)"
"(324, 171, 2)","(133, 171, 6)","(309, 128, 20)"
"(194, 156, -2)","(27, 145, 18)","(191, 105, 21)"
"(283, 144, 0)","(121, 152, 10)","(284, 128, 21)"
"(235, 176, 2)","(102, 178, 14)","(235, 106, 19)"
"(308, 172, 0)","(75, 170, 6)","(310, 92, 16)"
"(263, 168, 1)","(127, 164, 11)","(267, 126, 21)"
"(277, 162, 0)","(116, 168, 9)","(278, 109, 18)"
"(300, 191, 3)","(127, 197, 9)","(311, 133, 17)"
"(251, 164, 1)","(114, 151, 13)","(247, 135, 19)"
"(225, 174, -1)","(90, 181, 15)","(224, 110, 20)"
"(277, 147, 2)","(129, 143, 10)","(326, 119, 21)"
"(237, 179, 3)","(108, 184, 11)","(239, 115, 18)"
"(245, 183, 4)","(127, 184, 14)","(193, 127, 18)"
"(314, 156, 0)","(127, 162, 7)","(316, 114, 21)"
"(224, 144, -1)","(58, 154, 16)","(215, 67, 20)"
"(243, 196, 0)","(127, 210, 14)","(242, 124, 21)"
"(295, 149, -1)","(108, 147, 8)","(286, 114, 21)"
"(228, 160, -2)","(123, 169, 14)","(229, 110, 21)"
"(215, 161, 2)","(82, 149, 16)","(210, 136, 20)"
"(233, 158, 1)","(142, 159, 15)","(232, 137, 20)"
"(231, 175, 1)","(138, 177, 15)","(230, 117, 21)"
"(227, 197, 3)","(92, 199, 16)","(212, 133, 17)"
"(299, 165, 3)","(132, 174, 7)","(301, 145, 20)"
"(226, 175, 2)","(144, 178, 15)","(225, 145, 20)"
"(241, 154, 2)","(92, 156, 13)","(226, 63, 21)"
"(293, 169, -2)","(91, 180, 8)","(295, 88, 20)"
"(220, 176, 1)","(59, 213, 16)","(219, 121, 19)"
"(214, 158, 1)","(128, 166, 16)","(212, 116, 18)"
"(232, 168, 1)","(96, 168, 15)","(229, 122, 18)"
"(221, 182, 0)","(128, 186, 16)","(220, 117, 19)"
"(297, 168, 1)","(139, 173, 8)","(299, 134, 20)"
"(299, 154, 0)","(106, 161, 7)","(300, 125, 21)"
"(266, 164, -1)","(66, 174, 10)","(266, 72, 20)"
"(213, 176, 1)","(105, 183, 16)","(220, 97, 19)"
"(232, 131, 1)","(127, 138, 14)","(231, 117, 22)"
"(239, 160, 0)","(80, 176, 13)","(234, 123, 19)"
"(221, 164, -1)","(128, 171, 16)","(217, 122, 20)"
"(233, 181, -1)","(115, 189, 15)","(232, 115, 20)"
"(294, 173, 1)","(129, 175, 9)","(296, 123, 21)"
"(308, 185, 1)","(128, 188, 7)","(311, 137, 20)"
"(279, 151, -1)","(121, 156, 10)","(280, 117, 20)"
"(245, 152, -1)","(128, 170, 13)","(245, 112, 20)"
"(287, 151, -1)","(87, 138, 9)","(288, 106, 20)"
"(321, 146, 1)","(112, 173, 6)","(324, 126, 19)"
"(293, 138, 1)","(130, 147, 7)","(340, 134, 22)"
"(209, 180, -1)","(102, 189, 16)","(208, 104, 19)"
"(286, 203, 0)","(115, 206, 8)","(286, 110, 18)"
"(291, 180, -1)","(45, 180, 9)","(281, 68, 18)"
"(261, 156, 1)","(85, 163, 13)","(261, 78, 19)"
"(198, 149, -2)","(95, 159, 18)","(196, 103, 20)"
"(224, 180, 2)","(134, 177, 14)","(221, 109, 18)"
"(274, 149, 3)","(108, 156, 10)","(275, 94, 20)"
"(259, 155, 4)","(111, 157, 11)","(265, 106, 20)"
"(217, 191, 2)","(101, 194, 16)","(216, 104, 20)"
"(203, 133, 4)","(159, 134, 18)","(201, 154, 21)"
"(201, 193, 1)","(104, 192, 17)","(199, 107, 17)"
"(298, 190, 1)","(135, 191, 8)","(299, 102, 19)"
"(288, 198, -2)","(86, 211, 9)","(290, 78, 17)"
"(303, 143, -1)","(110, 148, 8)","(305, 110, 18)"
"(309, 178, 2)","(129, 196, 7)","(312, 121, 16)"
"(308, 173, 0)","(112, 181, 6)","(311, 107, 15)"
"(280, 147, 3)","(83, 167, 10)","(280, 139, 20)"
"(219, 184, 1)","(120, 189, 15)","(217, 128, 19)"
"(307, 154, 2)","(100, 165, 7)","(309, 139, 19)"
"(234, 149, 0)","(115, 165, 15)","(232, 117, 21)"
"(282, 136, 0)","(85, 131, 11)","(285, 105, 22)"
"(210, 167, 0)","(99, 172, 16)","(208, 114, 19)"
"(208, 149, 0)","(128, 152, 17)","(207, 93, 20)"
"(278, 211, 0)","(117, 220, 10)","(279, 118, 19)"
"(216, 182, -1)","(127, 187, 16)","(214, 110, 20)"
"(270, 151, 2)","(90, 153, 11)","(270, 86, 20)"
"(220, 184, 6)","(140, 181, 16)","(219, 153, 19)"
"(303, 148, 0)","(107, 148, 7)","(305, 132, 20)"
"(275, 169, 0)","(97, 161, 9)","(283, 124, 21)"
"(203, 149, 0)","(115, 176, 17)","(200, 135, 20)"
"(280, 144, -1)","(122, 158, 10)","(281, 124, 21)"
"(225, 167, 3)","(92, 186, 16)","(217, 114, 21)"
"(309, 192, 1)","(96, 191, 7)","(312, 108, 18)"
"(312, 171, 0)","(102, 182, 7)","(316, 106, 20)"
"(305, 159, 3)","(122, 168, 7)","(307, 127, 19)"
"(206, 172, 0)","(76, 178, 16)","(204, 108, 18)"
"(290, 144, 0)","(118, 149, 8)","(292, 111, 18)"
"(225, 174, -1)","(117, 180, 15)","(224, 90, 19)"
"(298, 176, -1)","(115, 188, 8)","(335, 144, 19)"
"(231, 177, 3)","(123, 189, 15)","(229, 141, 18)"
"(214, 180, 1)","(143, 183, 16)","(212, 137, 19)"
"(219, 172, -1)","(102, 189, 16)","(217, 108, 18)"
"(237, 149, -3)","(66, 121, 15)","(226, 75, 20)"
"(281, 171, 0)","(129, 183, 10)","(281, 127, 20)"
"(302, 204, 3)","(82, 208, 7)","(320, 131, 17)"
"(226, 171, 1)","(128, 182, 15)","(229, 129, 21)"
"(226, 204, 2)","(147, 193, 15)","(223, 142, 16)"
"(283, 200, 1)","(128, 200, 10)","(320, 119, 18)"
"(218, 134, 0)","(129, 148, 16)","(217, 119, 22)"
"(216, 171, 2)","(152, 177, 16)","(214, 152, 21)"
"(225, 180, 2)","(139, 181, 15)","(224, 127, 19)"
"(264, 166, 0)","(122, 167, 11)","(264, 104, 21)"
"(223, 181, 0)","(89, 184, 15)","(215, 78, 20)"
"(295, 167, 2)","(135, 173, 8)","(296, 140, 20)"
"(230, 218, -1)","(116, 222, 15)","(229, 123, 18)"
"(304, 185, 0)","(125, 192, 7)","(312, 129, 20)"
"(284, 163, 1)","(108, 166, 9)","(292, 94, 21)"
"(226, 169, 2)","(97, 169, 15)","(226, 105, 18)"
"(261, 185, -2)","(107, 166, 9)","(279, 109, 20)"
